#NAMES	IB1	IB2	IB3	IB4	IB5	IB6	IB7	IB8	IB9	IB10
yacE			-0.019000	0.093000		0.068000	-0.030000	-0.039000	0.224000	
yaeE	-0.058000	-0.029000	0.020000	-0.039000	0.093000		0.103000	0.032000		0.317000
yaeE	0.044000	0.097000	0.073000	0.190000	0.124000		0.103000	0.076000		0.328000
aceF		0.423000	-0.034000	-0.063000	0.191000		0.219000	0.126000	0.290000	0.486000
aceF		0.365000	0.122000	0.229000	0.280000		0.331000	0.206000	0.326000	0.413000
yafT	-0.084000	-0.262000	-0.512000	-0.300000						
yafT	-0.007000	-0.012000	0.125000	-0.188000						
mog	-0.084000		0.058000	0.100000	-0.314000	-0.231000	0.212000	0.016000	0.141000	0.030000
mog	0.026000		0.252000	0.349000	-0.117000	-0.153000	0.164000	0.116000	0.088000	0.029000
b0302		0.154000	0.039000	-0.090000					0.115000	
b0302		0.179000	0.095000	0.218000					0.082000	
insB_1	0.289000	-0.154000	-0.076000	-0.043000	0.013000	-0.106000	0.151000	-0.085000	0.451000	0.260000
insB_1	0.223000	0.246000	0.165000	0.277000	-0.043000	0.051000	0.199000	0.061000	0.168000	0.244000
betT	-0.816000	-0.287000	-0.269000	-0.311000	-0.110000			-0.275000	-0.798000	
betT	-0.167000	-0.728000	-0.099000	-0.219000	-0.244000			-0.264000	-0.890000	
guaC	-0.067000	-0.058000	-0.129000	-0.090000	-0.182000	-0.226000	-0.162000	-0.151000	-0.291000	-0.245000
guaC	0.001000	-0.037000	0.032000	0.091000	-0.068000	-0.266000	-0.148000	-0.132000	-0.186000	-0.244000
abc	0.076000	0.232000	0.033000	0.070000		0.080000		0.143000	0.261000	0.309000
abc	0.093000	0.186000	0.199000	0.424000		0.083000		0.222000	0.328000	0.281000
lpdA	0.015000	0.085000	-0.402000		-0.194000	-0.219000	-0.206000	-0.269000	0.036000	0.015000
lpdA	-0.035000	-0.049000	-0.241000		-0.172000	-0.185000	-0.244000	-0.255000	0.040000	0.063000
yafU	0.253000	0.073000	0.067000	-0.076000	0.202000	-0.129000	-0.120000		-0.352000	0.100000
